name,address,url,rating,rating_count,phone,image,district
吉昌花坊 JC Florist,新海路99號,https://www.google.com/maps/place/%E5%90%89%E6%98%8C%E8%8A%B1%E5%9D%8A+JC+Florist/data=!4m7!3m6!1s0x3442a81115feca6b:0xf2be4088fe7ff0c6!8m2!3d25.02242!4d121.4612513!16s%2Fg%2F12m94xbh_!19sChIJa8r-FRGoQjQRxvB__ohAvvI?authuser=0&hl=zh-TW&rclk=1,4.9,575,02 2255 9388,https://lh3.googleusercontent.com/p/AF1QipM2xMZLedNEAAEtZhYoDhLptLkqSg0myBXWZkoN=w80-h106-k-no,新北市板橋區
雅萱花苑,中正路236巷9號,https://www.google.com/maps/place/%E9%9B%85%E8%90%B1%E8%8A%B1%E8%8B%91/data=!4m7!3m6!1s0x3442a91b7a10fe91:0xb07e1bfba3dfe647!8m2!3d25.0191949!4d121.4562618!16s%2Fg%2F11jgxm9p32!19sChIJkf4QehupQjQRR-bfo_sbfrA?authuser=0&hl=zh-TW&rclk=1,4.8,10,02 2968 1531,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwoQYUfUlYus7EUAJwIFQI_s-UiWl56r9lkiLFiQKiiQGlBWqeXhYmtz7N8MHgk_qLvx_Ubn9ozTfsHYe3zTNpwox4DpmcoSOc6HKP7inWi0xN4XZ01s_56-vMVTCwWpB39mJ3f=w80-h106-k-no,新北市板橋區
WAORA 娃歐拉花所｜新北板橋滿天星花束、永生花店,新海路135巷27號,https://www.google.com/maps/place/WAORA+%E5%A8%83%E6%AD%90%E6%8B%89%E8%8A%B1%E6%89%80%EF%BD%9C%E6%96%B0%E5%8C%97%E6%9D%BF%E6%A9%8B%E6%BB%BF%E5%A4%A9%E6%98%9F%E8%8A%B1%E6%9D%9F%E3%80%81%E6%B0%B8%E7%94%9F%E8%8A%B1%E5%BA%97/data=!4m7!3m6!1s0x3442a9738bd03fd9:0xb971b6090c4429de!8m2!3d25.0230537!4d121.4602286!16s%2Fg%2F11yh4dzqtt!19sChIJ2T_Qi3OpQjQR3ilEDAm2cbk?authuser=0&hl=zh-TW&rclk=1,5,24,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzV7C9sFDaqMfQFOpwNhLW1DJuBZTXvRRhHWXq-0MFg3uPfgF0NuojCargo6EreltPlZSfyR3kDkqKQZU7GQHUU_7pAud99BuSvxQnuGAGDdDjyAkg1DbntuBMVOIZVwDhacg-hyp5qA8tS=w80-h106-k-no,新北市板橋區
臻花坊,新海路8號,https://www.google.com/maps/place/%E8%87%BB%E8%8A%B1%E5%9D%8A/data=!4m7!3m6!1s0x3442a810d4e3b50f:0x2361f28ee287d13!8m2!3d25.0209119!4d121.4626399!16s%2Fg%2F12m99_51k!19sChIJD7Xj1BCoQjQRE30o7igfNgI?authuser=0&hl=zh-TW&rclk=1,4,14,02 2257 7384,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwjMHUnLN5EaGQ7kKubUxbtyfEfIu58OEF2oosseHZORwm7Njy2-X18Fq45nS3ba5Kjus8rEk4WPFtCpDW73XowjfDyAzNx05b8mTICEevmkjkFrzMPzpIOsUYkMpvQclCriPN4=w122-h92-k-no,新北市板橋區
凱樂蒂手作藝術坊/不凋花乾燥花手作,新海路18號,https://www.google.com/maps/place/%E5%87%B1%E6%A8%82%E8%92%82%E6%89%8B%E4%BD%9C%E8%97%9D%E8%A1%93%E5%9D%8A%2F%E4%B8%8D%E5%87%8B%E8%8A%B1%E4%B9%BE%E7%87%A5%E8%8A%B1%E6%89%8B%E4%BD%9C/data=!4m7!3m6!1s0x3442a92efeb4bb9b:0xac5e5e94f68b210a!8m2!3d25.0209933!4d121.462515!16s%2Fg%2F11tx5c9h8g!19sChIJm7u0_i6pQjQRCiGL9pReXqw?authuser=0&hl=zh-TW&rclk=1,5,7,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwzmLnRpqMu-ifr78FdjGDdqOyUy3G7x04mvvSNXxlE11WePDagzi2wpbTLQDKbouq1baX872GUMr0v9pS6YXrefEdqX9RSyouf5bmszf3SoMJ1XuxTy9TOrUnUJT6rH0d6wSy_=w80-h106-k-no,新北市板橋區
Jennifer flower 新北板橋店 24小時 自助購物｜永生花店｜香皂花店｜浪漫（氣球、婚慶）佈置,英士路58巷38號,https://www.google.com/maps/place/Jennifer+flower+%E6%96%B0%E5%8C%97%E6%9D%BF%E6%A9%8B%E5%BA%97+24%E5%B0%8F%E6%99%82+%E8%87%AA%E5%8A%A9%E8%B3%BC%E7%89%A9%EF%BD%9C%E6%B0%B8%E7%94%9F%E8%8A%B1%E5%BA%97%EF%BD%9C%E9%A6%99%E7%9A%82%E8%8A%B1%E5%BA%97%EF%BD%9C%E6%B5%AA%E6%BC%AB%EF%BC%88%E6%B0%A3%E7%90%83%E3%80%81%E5%A9%9A%E6%85%B6%EF%BC%89%E4%BD%88%E7%BD%AE/data=!4m7!3m6!1s0x3442a9385d8fa939:0x875737d72334ffbf!8m2!3d25.0258119!4d121.4603401!16s%2Fg%2F11x2kjydh7!19sChIJOamPXTipQjQRv_80I9c3V4c?authuser=0&hl=zh-TW&rclk=1,5,1108,,https://lh3.googleusercontent.com/p/AF1QipMsKL3PrzEHrrJjDNzGYmui9AHGSMflghXKq0-c=w80-h142-k-no,新北市板橋區
向日葵花藝坊(板橋花市71號店)-求婚花束訂購|開幕花外送|乾燥花|捧花訂製|花店推薦|畢業花束|永生花課程教學|新北板橋新埔站,民生路二段板橋花市向日葵花藝坊,https://www.google.com/maps/place/%E5%90%91%E6%97%A5%E8%91%B5%E8%8A%B1%E8%97%9D%E5%9D%8A%28%E6%9D%BF%E6%A9%8B%E8%8A%B1%E5%B8%8271%E8%99%9F%E5%BA%97%29-%E6%B1%82%E5%A9%9A%E8%8A%B1%E6%9D%9F%E8%A8%82%E8%B3%BC%7C%E9%96%8B%E5%B9%95%E8%8A%B1%E5%A4%96%E9%80%81%7C%E4%B9%BE%E7%87%A5%E8%8A%B1%7C%E6%8D%A7%E8%8A%B1%E8%A8%82%E8%A3%BD%7C%E8%8A%B1%E5%BA%97%E6%8E%A8%E8%96%A6%7C%E7%95%A2%E6%A5%AD%E8%8A%B1%E6%9D%9F%7C%E6%B0%B8%E7%94%9F%E8%8A%B1%E8%AA%B2%E7%A8%8B%E6%95%99%E5%AD%B8%7C%E6%96%B0%E5%8C%97%E6%9D%BF%E6%A9%8B%E6%96%B0%E5%9F%94%E7%AB%99/data=!4m7!3m6!1s0x3442a83dff09ec0b:0x5c4bb72b775e1f34!8m2!3d25.0221767!4d121.4685843!16s%2Fg%2F11df7k6k90!19sChIJC-wJ_z2oQjQRNB9edyu3S1w?authuser=0&hl=zh-TW&rclk=1,5,1852,0933 758 031,https://lh3.googleusercontent.com/p/AF1QipNA1Ce0BN-ua3w_3WXkamn7yFBuNLa9ybv19frc=w92-h92-k-no,新北市板橋區
榮記花坊 ~ 40年在地花店，提供鮮花花禮服務，商業桌花，高架花籃，花束．,中正路96號,https://www.google.com/maps/place/%E6%A6%AE%E8%A8%98%E8%8A%B1%E5%9D%8A+~+40%E5%B9%B4%E5%9C%A8%E5%9C%B0%E8%8A%B1%E5%BA%97%EF%BC%8C%E6%8F%90%E4%BE%9B%E9%AE%AE%E8%8A%B1%E8%8A%B1%E7%A6%AE%E6%9C%8D%E5%8B%99%EF%BC%8C%E5%95%86%E6%A5%AD%E6%A1%8C%E8%8A%B1%EF%BC%8C%E9%AB%98%E6%9E%B6%E8%8A%B1%E7%B1%83%EF%BC%8C%E8%8A%B1%E6%9D%9F%EF%BC%8E/data=!4m7!3m6!1s0x3442a804ae0967f1:0x5d2348059c48be0d!8m2!3d25.01513!4d121.456671!16s%2Fg%2F11h9y5dd96!19sChIJ8WcJrgSoQjQRDb5InAVII10?authuser=0&hl=zh-TW&rclk=1,4.5,48,02 2969 8056,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzCE5v1mGK_D_etV7hpbS0NNKMwQQiRvcyBL1nzP7gcEnfsKar9gl5ItkeKIadBbKmGZs7TcaaRDl_aoj-IfYx03J1p5pCM31EBG3DIyMuLC4f7hDWnlHk6mjNeNYlQhXaYoMlK=w80-h106-k-no,新北市板橋區
Kanny floral bouquet 乾燥花永生花店-板橋花店 板橋花束 板橋乾燥花 板橋永生花 板橋聖誕花束 板橋鈔票造型蛋糕,漢生東路43巷50號,https://www.google.com/maps/place/Kanny+floral+bouquet+%E4%B9%BE%E7%87%A5%E8%8A%B1%E6%B0%B8%E7%94%9F%E8%8A%B1%E5%BA%97-%E6%9D%BF%E6%A9%8B%E8%8A%B1%E5%BA%97+%E6%9D%BF%E6%A9%8B%E8%8A%B1%E6%9D%9F+%E6%9D%BF%E6%A9%8B%E4%B9%BE%E7%87%A5%E8%8A%B1+%E6%9D%BF%E6%A9%8B%E6%B0%B8%E7%94%9F%E8%8A%B1+%E6%9D%BF%E6%A9%8B%E8%81%96%E8%AA%95%E8%8A%B1%E6%9D%9F+%E6%9D%BF%E6%A9%8B%E9%88%94%E7%A5%A8%E9%80%A0%E5%9E%8B%E8%9B%8B%E7%B3%95/data=!4m7!3m6!1s0x3442a970c4c3498b:0x8dbf7c24e36f183d!8m2!3d25.0178724!4d121.4667523!16s%2Fg%2F11vyscx6xv!19sChIJi0nDxHCpQjQRPRhv4yR8v40?authuser=0&hl=zh-TW&rclk=1,5,104,0936 518 366,https://lh3.googleusercontent.com/p/AF1QipNrSROWL9TdDY9glH5o69db2tRAfZyN3xn7wVjC=w80-h106-k-no,新北市板橋區
i.Florist 愛花人花藝美學館 板橋環球店,縣民大道二段7號2樓,https://www.google.com/maps/place/i.Florist+%E6%84%9B%E8%8A%B1%E4%BA%BA%E8%8A%B1%E8%97%9D%E7%BE%8E%E5%AD%B8%E9%A4%A8+%E6%9D%BF%E6%A9%8B%E7%92%B0%E7%90%83%E5%BA%97/data=!4m7!3m6!1s0x3442ab4fc6221d07:0x6df14b012f51556e!8m2!3d25.0141259!4d121.4637592!16s%2Fg%2F11r9tcxn2r!19sChIJBx0ixk-rQjQRblVRLwFL8W0?authuser=0&hl=zh-TW&rclk=1,5,894,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy7PyOeLlzdHXE2hhttnrJkdFFNNGv5HPiHar_TTi0EcCPj_rV9XEHQ_Bd_UGVSlVO3NH74byKOx3MxB_qs4aP2ceR0NaMCIoPwrhNMnhIWG3VEew623_jQNZAM5aA7zuQJSStehaAz7-TC=w122-h92-k-no,新北市板橋區
